epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1316.19,0.48172,1.76266,0.19296,0.02776,0.27603,0.02896,0.01702,0.54883,1.41927,0.24556,4.99834e-05,4.99834e-05,0.0500666
2,2598.35,0.39698,0.89346,0.16438,0.64804,0.73937,0.73136,0.57049,0.24821,0.66526,0.16436,9.60241e-05,9.60241e-05,0.000112619
3,3893.39,0.29206,0.41953,0.14172,0.69173,0.67749,0.65778,0.53694,0.21902,0.83552,0.14948,9.208e-05,9.208e-05,9.208e-05
4,5180.59,0.26267,0.37448,0.12396,0.83231,0.71406,0.80217,0.65576,0.21051,0.66825,0.1387,8.812e-05,8.812e-05,8.812e-05
5,6464.75,0.24763,0.34338,0.11682,0.70836,0.72765,0.70121,0.58115,0.21536,0.67546,0.1565,8.416e-05,8.416e-05,8.416e-05
6,7746.68,0.24008,0.32928,0.11143,0.69991,0.71837,0.72345,0.61182,0.20492,0.68537,0.14073,8.02e-05,8.02e-05,8.02e-05
7,9028.53,0.23036,0.32073,0.1059,0.81477,0.74718,0.79939,0.65885,0.20119,0.77827,0.13846,7.624e-05,7.624e-05,7.624e-05
8,10302.3,0.2242,0.31094,0.10122,0.76359,0.75306,0.76357,0.62836,0.20935,0.68613,0.15237,7.228e-05,7.228e-05,7.228e-05
9,11579.4,0.21782,0.3064,0.09715,0.76563,0.76315,0.7525,0.62698,0.20819,0.69737,0.14372,6.832e-05,6.832e-05,6.832e-05
10,12852.7,0.21233,0.29515,0.09502,0.71585,0.72249,0.72377,0.61589,0.19653,0.69323,0.12868,6.436e-05,6.436e-05,6.436e-05
11,14123.9,0.20837,0.29165,0.09125,0.75695,0.74186,0.76135,0.63299,0.20397,0.7391,0.13901,6.04e-05,6.04e-05,6.04e-05
